Participant,Start,End,Sentence
18.Pink.117,08:49.7,08:50.9,"""What did you have for eleven"""
18.Blue.59,08:50.9,08:51.7,"""I did whiskey"""
18.Pink.118,08:51.7,08:55.2,"""$ that was my fourteen"""
18.Orange.65,08:53.6,08:55.6,"""I put whiskey as twelve"""
18.Orange.66,08:55.6,08:57.5,"""I dont what could we use it for"""
18.Blue.60,08:58.4,08:58.9,"""I mean"""
18.Blue.61,08:59.7,09:01.7,"""Could you not use it to start a fire"""
18.Pink.119,09:01.9,09:03.7,"""Yeah you could you could"""
18.Orange.67,09:02.0,09:06.1,"""Yeah but we have the but the oh yeah """
18.Blue.62,09:16.8,09:18.8,"""The fire is meh"""
18.Pink.120,09:20.0,09:24.0,"""We didnt put we havent put down the cigarette lighter without the fluid yet"""
18.Pink.121,09:24.3,09:25.5,"""I just realized that"""
18.Blue.63,09:25.1,09:29.7,"""I had that last because its without fluid right so"""
18.Pink.122,09:26.7,09:27.3,"""What"""
18.Pink.123,09:29.2,09:30.4,"""We still have the lighter"""
18.Pink.124,09:30.8,09:31.9,"""Oh wait its without fluid"""
18.Pink.125,09:31.9,09:32.5,"""Never mind"""
18.Blue.64,09:32.0,09:32.6,"""Yeah"""
18.Pink.126,09:32.5,09:33.3,"""Then that doesnt work"""
18.Pink.127,09:35.3,09:38.5,"""Okay yeah yeah thats stupid [unclear]"""
18.Pink.128,09:38.5,09:39.7,"""Should we put that as fifteen"""
18.Blue.65,09:40.1,09:42.0,"""Thats what mine was [unclear]"""
18.Pink.129,09:41.7,09:42.1,"""Yeah"""
18.Blue.66,09:43.5,09:45.4,"""I mean unless there was some way to """
18.Pink.130,09:46.4,09:48.3,"""Im not sure what youll do with this"""
18.Orange.68,09:47.3,09:54.5,"""You could use one of the extra shirts to put on a wood stick and then light the fire like [unclear] $"""
18.Pink.131,09:52.8,09:54.9,"""$"""
18.Orange.69,09:54.5,09:58.1,"""$ thats why I thought thats why I put it high up"""
18.Pink.132,09:59.2,09:59.8,"""Oh wait"""
18.Pink.133,10:01.9,10:05.9,"""Um yeah final [unclear]"""
